timestamp,container_name,cpu_percent,mem_usage_mb,mem_limit_mb,mem_percent,pids
2026-08-14T19:38:16Z,monitor,0.09,18.91,15882.70,0.12,21
2026-08-14T19:38:16Z,robot-shop-web-1,0.0,37.62,15882.70,0.24,30
2026-08-14T19:38:16Z,robot-shop-cart-1,0.01,32.77,15882.70,0.21,11
2026-08-14T19:38:16Z,robot-shop-user-1,0.01,34.56,15882.70,0.22,11
2026-08-14T19:38:16Z,robot-shop-payment-1,0.0,47.05,15882.70,0.3,3
2026-08-14T19:38:16Z,robot-shop-dispatch-1,0.14,8.92,15882.70,0.06,13
2026-08-14T19:38:16Z,robot-shop-shipping-1,0.08,548.04,15882.70,3.45,58
2026-08-14T19:38:16Z,robot-shop-ratings-1,0.0,43.30,15882.70,0.27,7
2026-08-14T19:38:16Z,robot-shop-catalogue-1,0.01,44.72,15882.70,0.28,11
2026-08-14T19:38:16Z,robot-shop-redis-1,0.08,3.61,15882.70,0.02,5
2026-08-14T19:38:16Z,robot-shop-rabbitmq-1,0.12,147.70,15882.70,0.93,77
2026-08-14T19:38:16Z,robot-shop-mysql-1,0.04,210.79,15882.70,1.33,38
2026-08-14T19:38:16Z,robot-shop-mongodb-1,0.2,64.93,15882.70,0.41,35
2026-08-14T19:38:16Z,ids,0.12,117.50,15882.70,0.74,20
2026-08-14T19:38:16Z,ddos,0.0,8.55,15882.70,0.05,3
2026-08-14T19:38:16Z,flash,0.0,7.51,15882.70,0.05,3
2026-08-14T19:38:16Z,shop_db,0.0,31.94,15882.70,0.2,6
2026-08-14T19:38:16Z,router,0.0,2.49,15882.70,0.02,2
2026-08-14T19:38:23Z,monitor,0.0,20.20,15882.70,0.13,21
2026-08-14T19:38:23Z,robot-shop-web-1,0.0,37.62,15882.70,0.24,30
2026-08-14T19:38:23Z,robot-shop-cart-1,0.01,32.41,15882.70,0.2,11
2026-08-14T19:38:23Z,robot-shop-user-1,0.01,33.89,15882.70,0.21,11
2026-08-14T19:38:23Z,robot-shop-payment-1,0.0,47.08,15882.70,0.3,3
2026-08-14T19:38:23Z,robot-shop-dispatch-1,0.03,9.05,15882.70,0.06,13
2026-08-14T19:38:23Z,robot-shop-shipping-1,0.06,547.59,15882.70,3.45,58
2026-08-14T19:38:23Z,robot-shop-ratings-1,0.0,43.26,15882.70,0.27,7
2026-08-14T19:38:23Z,robot-shop-catalogue-1,0.01,45.98,15882.70,0.29,11
2026-08-14T19:38:23Z,robot-shop-redis-1,0.07,3.35,15882.70,0.02,5
2026-08-14T19:38:23Z,robot-shop-rabbitmq-1,0.22,148.03,15882.70,0.93,77
2026-08-14T19:38:23Z,robot-shop-mysql-1,0.04,210.79,15882.70,1.33,38
2026-08-14T19:38:23Z,robot-shop-mongodb-1,0.27,65.09,15882.70,0.41,35
2026-08-14T19:38:23Z,ids,0.12,118.25,15882.70,0.74,20
2026-08-14T19:38:23Z,ddos,0.0,8.55,15882.70,0.05,3
2026-08-14T19:38:23Z,flash,0.0,7.51,15882.70,0.05,3
2026-08-14T19:38:23Z,shop_db,0.0,31.94,15882.70,0.2,6
2026-08-14T19:38:23Z,router,0.0,2.49,15882.70,0.02,2
2026-08-14T19:38:30Z,monitor,0.15,19.46,15882.70,0.12,21
2026-08-14T19:38:30Z,robot-shop-web-1,0.0,38.10,15882.70,0.24,30
2026-08-14T19:38:30Z,robot-shop-cart-1,0.01,32.04,15882.70,0.2,11
2026-08-14T19:38:30Z,robot-shop-user-1,0.07,35.35,15882.70,0.22,11
2026-08-14T19:38:30Z,robot-shop-payment-1,0.0,47.26,15882.70,0.3,3
2026-08-14T19:38:30Z,robot-shop-dispatch-1,0.11,9.94,15882.70,0.06,13
2026-08-14T19:38:30Z,robot-shop-shipping-1,0.06,548.68,15882.70,3.45,58
2026-08-14T19:38:30Z,robot-shop-ratings-1,0.0,43.46,15882.70,0.27,7
2026-08-14T19:38:30Z,robot-shop-catalogue-1,0.01,45.20,15882.70,0.28,11
2026-08-14T19:38:30Z,robot-shop-redis-1,0.08,3.35,15882.70,0.02,5
2026-08-14T19:38:30Z,robot-shop-rabbitmq-1,0.12,147.86,15882.70,0.93,77
2026-08-14T19:38:30Z,robot-shop-mysql-1,0.04,210.80,15882.70,1.33,38
2026-08-14T19:38:30Z,robot-shop-mongodb-1,0.22,64.64,15882.70,0.41,35
2026-08-14T19:38:30Z,ids,0.11,118.16,15882.70,0.74,20
2026-08-14T19:38:30Z,ddos,0.0,8.55,15882.70,0.05,3
2026-08-14T19:38:30Z,flash,0.0,7.51,15882.70,0.05,3
2026-08-14T19:38:30Z,shop_db,0.01,31.94,15882.70,0.2,6
2026-08-14T19:38:30Z,router,0.0,2.49,15882.70,0.02,2
2026-08-14T19:38:37Z,monitor,0.0,18.95,15882.70,0.12,21
2026-08-14T19:38:37Z,robot-shop-web-1,0.0,38.56,15882.70,0.24,30
2026-08-14T19:38:37Z,robot-shop-cart-1,0.01,32.90,15882.70,0.21,11
2026-08-14T19:38:37Z,robot-shop-user-1,0.01,35.09,15882.70,0.22,11
2026-08-14T19:38:37Z,robot-shop-payment-1,0.0,48.05,15882.70,0.3,3
2026-08-14T19:38:37Z,robot-shop-dispatch-1,2.39,9.77,15882.70,0.06,13
2026-08-14T19:38:37Z,robot-shop-shipping-1,0.06,548.68,15882.70,3.45,58
2026-08-14T19:38:37Z,robot-shop-ratings-1,0.0,44.10,15882.70,0.28,7
2026-08-14T19:38:37Z,robot-shop-catalogue-1,0.01,44.97,15882.70,0.28,11
2026-08-14T19:38:37Z,robot-shop-redis-1,0.09,3.36,15882.70,0.02,5
2026-08-14T19:38:37Z,robot-shop-rabbitmq-1,0.86,147.98,15882.70,0.93,77
2026-08-14T19:38:37Z,robot-shop-mysql-1,0.04,210.82,15882.70,1.33,38
2026-08-14T19:38:37Z,robot-shop-mongodb-1,0.19,65.11,15882.70,0.41,35
2026-08-14T19:38:37Z,ids,0.13,118.05,15882.70,0.74,20
2026-08-14T19:38:37Z,ddos,0.0,8.55,15882.70,0.05,3
2026-08-14T19:38:37Z,flash,0.0,7.51,15882.70,0.05,3
2026-08-14T19:38:37Z,shop_db,0.0,32.19,15882.70,0.2,6
2026-08-14T19:38:37Z,router,0.0,2.49,15882.70,0.02,2
2026-08-14T19:38:43Z,monitor,0.1,18.50,15882.70,0.12,21
2026-08-14T19:38:43Z,robot-shop-web-1,1.76,38.93,15882.70,0.25,30
2026-08-14T19:38:43Z,robot-shop-cart-1,1.79,33.91,15882.70,0.21,11
2026-08-14T19:38:43Z,robot-shop-user-1,0.01,34.21,15882.70,0.22,11
2026-08-14T19:38:43Z,robot-shop-payment-1,1.68,48.62,15882.70,0.31,3
2026-08-14T19:38:43Z,robot-shop-dispatch-1,0.06,9.88,15882.70,0.06,13
2026-08-14T19:38:43Z,robot-shop-shipping-1,1.98,548.90,15882.70,3.46,58
2026-08-14T19:38:43Z,robot-shop-ratings-1,1.96,43.49,15882.70,0.27,7
2026-08-14T19:38:43Z,robot-shop-catalogue-1,0.01,44.95,15882.70,0.28,11
2026-08-14T19:38:43Z,robot-shop-redis-1,0.09,3.36,15882.70,0.02,5
2026-08-14T19:38:43Z,robot-shop-rabbitmq-1,0.58,147.76,15882.70,0.93,77
2026-08-14T19:38:43Z,robot-shop-mysql-1,0.09,210.79,15882.70,1.33,38
2026-08-14T19:38:43Z,robot-shop-mongodb-1,0.32,64.84,15882.70,0.41,35
2026-08-14T19:38:43Z,ids,0.15,118.05,15882.70,0.74,20
2026-08-14T19:38:43Z,ddos,0.0,8.55,15882.70,0.05,3
2026-08-14T19:38:43Z,flash,0.0,7.51,15882.70,0.05,3
2026-08-14T19:38:43Z,shop_db,0.0,31.94,15882.70,0.2,6
2026-08-14T19:38:43Z,router,0.0,2.49,15882.70,0.02,2
2026-08-14T19:38:50Z,monitor,0.27,19.13,15882.70,0.12,21
2026-08-14T19:38:50Z,robot-shop-web-1,0.0,38.55,15882.70,0.24,30
2026-08-14T19:38:50Z,robot-shop-cart-1,0.01,33.63,15882.70,0.21,11
2026-08-14T19:38:50Z,robot-shop-user-1,0.01,34.45,15882.70,0.22,11
2026-08-14T19:38:50Z,robot-shop-payment-1,0.0,48.37,15882.70,0.3,3
